iD,Response,Reviewer-1,Reviewer-2,word choice,Organization
1,An operating system is a construct that allows the user application programs to interact with the system hardware. Operating system by itself does not provide any function but it provides an atmosphere in which different applications and programs can do useful work.,4,4,,
1, OS is a software which makes an Interface between user and the hardware of computer,2,2,,
1,"An Operating System (OS) is an interface between a computer user and computer hardware. Every computer system must have at least one operating system to run other programs. Applications like Browsers, MS Office, Notepad Games, etc., need some environment to run and perform its tasks.An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.

Some popular Operating Systems include Linux Operating System, Windows Operating System, VMS, OS/400, AIX, z/OS, etc.",5,5,,
1,Operating system is an interface  between computer  user and computer hardware,2,1,,
1,It is an interconnection between  the user and computer (Software/hardware),1,1,,
1,  Operating system is an interface between computer user and computer hardware,1,1,,
1,"An operating system is system software that manage computer hardware, software resources and providing common service for the computer program",3,3,,
1,Operating system is a system which operates the Operating system ,0,0,,
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.",2,2,,
1,"It is a system software that manages computer hardware, software resources and provide common services for computer programs operating system",2,2,,
1,"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs.
",2,2,,
1,An operating system is an interface between computer user and computer hardware,2,1,,
1,collection of programs that manages hardware resources. system service provider to the application programs. link to interface the hardware and application programs.,3,3,,
1,"An operating system, or ""OS,"" is software that communicates with the hardware and allows other programs to run.Every desktop computer, tablet, and smartphone includes an operating system that provides basic functionality for the device. Common desktop operating systems include Windows, OS X, and Linux",4,4,,
1,"An operating system, or ""OS,"" is software that communicates with the hardware and allows other programs to run.Every desktop computer, tablet, and smartphone includes an operating system that provides basic functionality for the device. Common desktop operating systems include Windows, OS X, and Linux",4,4,,
1,It's and interface between user and computer. It's a software manages hardware and other software and performs all basic taka in a computer,3,3,,
1,"An operating system, or ""OS,"" is software that communicates with the hardware and allows other programs to run.Every desktop computer, tablet, and smartphone includes an operating system that provides basic functionality for the device. Common desktop operating systems include Windows, OS X, and Linux",4,4,,
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.",3,3,,
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. ... Operating systems are found on many devices that contain a computer",2,3,,
1,"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs.",2,2,,
1,"system software that manages computer hardware, software resources, and provides common services for computer programs. ",2,2,,
1,"Operating system (OS), program that manages a computer's resources, especially the allocation of those resources among other programs. ... Typical resources include the central processing unit (CPU), computer memory, file storage, input/output (I/O) devices, and network connections.",4,4,,
1,An Operating System (OS) is an interface between a computer user and computer hardware,2,1,,
1,Operating system is the software that manages computer hardware and it provides computer services,2,2,,
1,"OS is system software that manages computer hardware, software resources, and provides common services for computer programs.",2,2,,
1,"Operating system is an software .where ,it is first software which runs the system which it is installed in it. Without it we cannot run or even open the system or device. It manages both hardware and software.",4,4,,
1,"Software that manages computer hardware,software resources,and provides common services for computer programs.",2,2,,
1,"It is software that manages computer hardware, software resources, and provides common services for computer programs.",2,2,,
1,An operating system is a software that acts like an interface between user and hardware components,2,2,,
1,"An operating system is system software that manages computer hardware,software resources and provides common services.",2,2,,
1,"An operating system is an interface between a computer user and computer hardware.An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output,and controlling peripheral devices such as disk drives and printers.",4,4,,
1,"An?˜operating system?˜ is?˜system?˜software that manages computer hardware, software resources, and provides common services for computer programs. ... Other specialized classes of?˜operating systems?˜(special-purpose?˜operating systems)), such as embedded and real-time?˜systems, exist for many applications.",4,4,,
1,"OS is system software that manages computer hardware, software resources, and provides common services for computer programs",2,2,,
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. Other specialized classes of operating systems (special-purpose operating systems)), such as embedded and real-time systems, exist for many applications.",3,4,,
1,"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs.",2,3,,
1,An operating system is a software that acts as an interface between computer hardware components and the user of the computer.,2,2,,
1, An operating system is system software that manages computer hardware and software resources and provides common services,2,3,,
1,The operating system is an interface between a user and computer hardware,2,1,,
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. Operating systems are found on many devices that contain a computer Ÿ?? from cellular phones and video game consoles to web servers and supercomputers.",5,5,,
1,It is system software manages computer hardware and software resources ,2,2,,
1,Interface between a computer user and computer hardware,2,1,,
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. ... Operating systems are found on many devices that contain a computer Ÿ?? from cellular phones and video game consoles to web servers and supercomputers.",4,4,,
1,"An?˜Operating System (OS)?˜is a software that acts as an interface between computer hardware components and the user. Every computer system must have at least one operating system to run other programs. Applications like Browsers, MS Office, Notepad Games, etc., need some environment to run and perform its tasks.
The OS helps you to communicate with the computer without knowing how to speak the computer's language. It is not possible for the user to use any computer or mobile device without having an operating system. Operating systems are found on many devices that contain a computer?˜Ÿ?? from cellular phones and video game consoles to?˜web servers?˜and?˜supercomputers.",5,5,,
1,An Operating System is a program that acts as an interface between computer hardware and the user. It actually deals with the device's hardware and it controls the execution of all kinds of programs. ,3,3,,
1,A program which executes the application programs or an interface between software and hardware components.,2,2,,
1,"An operating system, or ""OS,"" is software that communicates with the hardware and allows other programs to run. ... Every desktop computer, tablet, and smartphone includes an operating system that provides basic functionality for the device. Common desktop operating systems include Windows, OS X, and Linux.",4,4,,
1,"An?˜operating system?˜(OS) is?˜system?˜software that manages computer hardware, software resources, and provides common services for computer programs. ",2,3,,
1,"It is a system software which controls and manages the hardware,software resources and work .",2,2,,
1,Operating system is system software that controls the computer hardware and software and provides common services to computer programming. ,2,3,,
1,"An operating system is system software, which acts as an interface between a user of the computer and  computer hardware. It  provides common service for computer programs.",3,3,,
1,"An?˜operating system is?˜system?˜software which manages computer hardware, software resources, and provides common services for computer programs. Other specialized classes of?˜operating systems?˜(special-purpose?˜operating systems)), such as embedded and real-time?˜systems, exist for many applications.",4,4,,
1,The software that manages computer hardware and software resources and provides common services for computer programs,2,2,,
1,"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs.Operating systems are found on many devices that contain a computer from cellular phones and video game consoles to web servers and supercomputers.",3,3,,
1,An Operating System (OS) is a software that acts as an interface between computer hardware components and the user.,2,2,,
1,"Software that manages computer hardware, software resources, and provides common services for computer programs. 
It acts as interface between user and the computer.",2,2,,
1,"The operating system is an interface between computer user and computer software. Which contains tasks like file management, memory management.",3,3,,
1,An Operating System (OS) is a software that acts as an interface between computer hardware components and the user,2,2,,
1,"An operating system is a system software that manages computer hardware, software resources and provides common services for computer programs. Ji",2,2,,
1,"An Operating System (OS) is a software that acts as an interface between computer hardware components and the user. Every computer system must have at least one operating system to run other programs. Applications like Browsers, MS Office, Notepad Games, etc., need some environment to run and perform its tasks.

The OS helps you to communicate with the computer without knowing how to speak the computer's language. It is not possible for the user to use any computer or mobile device without having an operating system.",2,3,,
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.It is found in smart phones,super computers etc.,",2,3,,
1,"OS is which operates computer software and hardware and provide common services for computer programs 
Os supports multiple tasking 
Os saves data without losing it",2,2,,
1,It's an os which can't have any deadline ,0,0,,
1,"An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers",3,3,,
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.",2,3,,
1,"It is a software that manages computer  Hardware ,software resources.and provides common services for computer programs",2,3,,
1,"Os is an interface between the user and the software, hardware components of a computer by which we can use those components to have nice user experience.",2,2,,
1,An Operating System (OS) is a software that acts as an interface between computer hardware components and the user,2,2,,
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.",2,3,,
1,"It's a system software that manages computer hardware, software, resources and provides common services for computer programs. Operating systems are found on many devices that contain a computer from cellular phones and video game consoles to web services and super computers.",3,3,,
1,"An operating system is system software that manages computer hard ware, software resources, and provides common services for computer programs. ",2,3,,
1,"An Operating System (OS) is an interface between a computer user and computer hardware. An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.

Some popular Operating Systems include Linux Operating System, Windows Operating System, VMS, OS/400, AIX, z/OS, etc.
An operating system is a program that acts as an interface between the user and the computer hardware and controls the execution of all kinds of programs.",5,5,,
1,"An operating system is software that communicates with the hardware and allows other programs to run. Every desktop computer, tablet, and smartphone includes an operating system that provides basic functionality for the device. Common desktop operating systems include Windows, OS X, and Linux.",4,4,,
1,"An Operating System (OS) is a software that acts as an interface between computer hardware components and the user. Every computer system must have at least one operating system to run other programs. Applications like Browsers, MS Office, Notepad Games, etc.,",3,3,,
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.",2,3,,
1,It is the software that manages hardware and software resources. In other words it is an interface between computer user and computer hardware.,2,2,,
1,An operating system is a software that acts as an interface  between computer hardware and the user.,2,2,,
1,Operating system is a software that operates hardware and software resources,1,1,,
1,An interface between user and computer hardware,2,1,,
1,An Operating System  is an interface between a computer user and computer hardware,2,1,,
1,"An operating system is a software that manages computer hardware, software resources,and provides common services for computer programs .it manages a computer's resources, especially the allocation of those resources among the programs.typical resources include the central processing unit (CPU), memory,file storage,input/output devices and network connections.",5,5,,
1,Operating system is an system software which acts as an interface between computer hardware and software and proforms operations,2,2,,
1,An Operating System (OS) is a software that acts as an interface between computer hardware components and the user,2,2,,
1,An operating system is a software which acts as an interfacebetween hardware components and user,2,2,,
1,An operating system is a system software that acts as an interface between the user and computer hardware. ,2,2,,
1,Software that manage computer hardware and software resources that provides common services.It acts an interface between user and computer hardware.it act as an interface between user and application.,3,3,,
1,"It is a system software that manages computer hardware, resources and provides services for computer programs",2,2,,
1,"An os is a interface between user and computer.
It integrates hardware and software.
It act as the communication path.
There are many options of os ,some most preferd and most known are ,windows,macos,linux,ubuntu
",2,1,,
1,An operating system is a software that communicates with the hardware and allows other programs to run.,2,2,,
1,It is a system software which acts as an interface between user and system.,2,2,,
1,"Operating system (OS), program that manages a computer's resources, especially the allocation of those resources among other programs",2,2,,
1,opearating system is a software,1,1,,
1,os is a software ,1,1,,
1,"An operating system (OS) is the program that, after being initially loaded into the computer by a boot program, manages all of the other application programs in a computer.",2,2,,
1,"An operating system is a software that communicates with the hardware and allows other programs to run. It is comprised of system software, or the fundamental files your computer needs to boot up and function.Common desktop operating systems include Windows, OS X, and Linux.",3,3,,
1,"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs. An operating system has three main functions: manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, establish a user interface, and, execute and provide services for applications software.",3,3,,
1,"An operating system is an interface between computer hardware and software. As we cannot interact directly with the system hardware , we need an interface. That Interface is called operating system. It manages processes,  handles filesystems etc.",3,3,,
1,It is a system software that manages all the processes and functions.,1,1,,
1,"Operating system (OS), program that manages a computer's resources, especially the allocation of those resources among other programs. ... Typical resources include the central processing unit (CPU), computer memory, file storage, input/output (I/O) devices, and network connections.
Following are the popular types of Operating System:
Batch Operating System.
Multitasking/Time Sharing OS.
Multiprocessing OS.
Real Time OS.
Distributed OS.
Network OS.
Mobile OS.",4,4,,
1,"program that manages a computer's resources, especially the allocation of those resources among other programs.Typical resources include the central processing unit (CPU), computer memory, file storage, input/output (I/O) devices, and network connections",4,4,,
1,"An operating system is a software which performs all the basic tasks like handling input and output,memory management.operating system is a interface between a computer user and computer hardware",3,3,,
1,"1)An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs.
2) Operating system acts as an intermediate between the user and system hardware..
",3,3,,
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs",2,2,,
1,"An operating system  is a interface between computer software and computer hardware.This is the reason the basic functionalities like file management,disk and memory management in the computer are performed by the user.",4,4,,
1,An operating system is an Interface between hardware and a software. ,2,1,,
1,An Operating System is a collection of programs that controls the execution of process and acts as an interface between  user and the computer hardware.,3,3,,
1,Operating system is a interface between the user and computer and the computer hardware.,2,2,,
1,"An Operating System (OS) is an interface between a computer user and computer hardware. An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.

Some popular Operating Systems include Linux Operating System, Windows Operating System etc",5,5,,
1,"- An operating system is a program that acts as an interface between the user and the computer hardware and controls the execution of all kinds of programs.
- Following are some of important functions of an operating System.

1. Memory Management
2. Processor Management
3. Device Management
4. File Management
5. Security
6. Control over system performance
7. Job accounting
8. Error detecting aids
9. Coordination between other software and users",5,5,,
1,"An Operating System (OS) is a software that acts as an interface between computer hardware components and the user. Every computer system must have at least one operating system to run other programs. 
An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.
Some popular Operating Systems include Linux Operating System, Windows Operating System,mac Operating System etc",5,5,,
1,"An Operating System (OS) is an interface between a computer user and computer hardware. An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.

Some popular Operating Systems include Linux Operating System, Windows Operating System etc",5,5,,
1,"An operating system, or ""OS,"" is software that communicates with the hardware and allows other programs to run. ... Every desktop computer, tablet, and smartphone includes an operating system that provides basic functionality for the device. Common desktop operating systems include Windows, OS X, and Linux.",4,4,,
1,Interface between computer user and computer hardware,2,1,,
1,It is a good interaction between user and the computer.,0,0,,
1,"Operating system is an interface between computer hardware and user. Ex: windows, linux etc..",2,2,,
1,"Operating system is a program that act as an interface between computer hardware and user 
Nd controls the execution of all programs",1,1,,
1,An operating System is an interface between the computer system and the user,1,1,,
1,Operating system is an intermediary between the user and computer (system) ,1,1,,
1,"OS acts as interface between computer user and computer hardware, It is like a software, it can manage hardware, computer resources and also provides services to complete tasks.",4,4,,
1,"It is system software, which acts as an interface between a user of the computer and the computer hardware.",2,2,,
1,"It is the interface between the user and computer hardware. It provides the software to perform different operations according to the requirements of the user. It is like heart to the computer system, with out it we cannot interact with components of the system. ",3,3,,
1,bridge with hardware and sofware,1,1,,
1,"An Operating System is an interface between a computer user and computer hardware. An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.",4,4,,
1,Operating system is a combination of both hardware and software that provides common services to the computer program or end user.,2,1,,
1,System of operation,0,0,,
1,It is an interface between User and Hardware of the system.,1,1,,
1,It is a set of computer programs. It is an interface between the user and computer hardware,2,2,,
1,"Operating system is an interface between user and hardware.  It is a system software. It allows communication between user , hardware and other ip/op",3,3,,
1,Operating Systems are software systems that control the computerŸ??s resources. It is software that allows applications to interact with the hardware on a computer. Software can interact with hardware directly. But most software isnŸ??t written to a particular piece of hardware .The operating system takes care of interacting with the hardware,4,4,,
1,"An operating system is a software that acts as an interface between computer hardware components and the user.The operating system manages the user interface, hardware,and all other software components.",3,3,,
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs",2,2,,
1,Operating system is a combination of both hardware and software that provides common services to the computer program or end user.,2,2,,
1,Operating system is an interface between user and hardware. It is system software,2,2,,
1,"Operating System is an interface between user and hardware 
If user want to access the hardware directly then he need to go through lot of code,  even to execute a small code where as Operating System has system calls for such small codes example: printf. 

In case if we don't have Operating System,  we are supposed to write entire code. 

If many people need the same functionality instead of asking every one to implement it, Operating System is going to provide it at one place. So that the user can directly use the functionality need not to bother about their implementation. ",1,1,,
1,"An Operating System performs all the basic tasks like managing files, processes, and memory. Thus operating system acts as the manager of all the resources, resource manager.",3,3,,
1,"1. Operating system is a system software,Acts as interface between user and Hardware.
2.Examples: Windows, linux, GNU
3. Operating system manages Memory, storage and also provides security and privacy management. ",3,3,,
1,An operating system is a software which act as buffer between user and hardware andit also act as resource manager in computer,1,1,,
1,"An operating system is a program that acts as an interface between the user and the computer hardware and controls the execution of all kinds of programs. Some of the important functions of an operating System are: 
Memory Management, Processor Management, Device Management, File Management, Security, Error detecting aids.",5,5,,
1,Os is an interface between user & the hardware device. It is also a system software that manages software resources & manage computer hardware,3,3,,
1,An operating system is software that acts as an interface between computer hardware and user and control the execution of all kinds of programs .,2,2,,
1,"Interface between user and computer hardware.it performs file management,memory,process management and input, output devices and all pheripheral devices and Printers etc?",4,4,,
1,An operating system is a program that acts as an interface between the user and the computer hardware and controls the execution of all kinds of programs.,2,2,,
1,Operating system is a program that acts as an interface between user and computer hardware and controls the execution of all kinds of programs,2,2,,
1,"An operating system is an interface between the computer user and the hardware .every desktop,smartphone ,tablets contain an operating system in it.",2,2,,
1,"An Operating System (OS) is a software that acts as an interface between computer hardware components and the user. Every computer system must have at least one operating system to run other programs. Applications like Browsers, MS Office, Notepad Games, etc., need some environment to run and perform its tasks.",4,4,,
1,"Operating system is a system software,it manages  hardware and software resources.",2,2,,
1,"Operating system is system software,that manages computer hardware and software resources, providing common services for computer programming and it handle everything in a computer.without os we can't access the hardware devices.incase os is not introduced then we have to write code for that particular hardware and we have to write what we want.only experts can do this.new users can't use that system.so operating system is more important,operating system like windows, Linux, Unix ect.",4,4,,
1,"An operating system is software that manages the computer hardware. Operating system is an interface between computer user and computer hardware. Operating system is a resource manager. Operating system is a resource allocator. Without an operating system it is hard to implement the hardware. Some examples  of operating system are Windows , Mac OS , Linux , Android , ios etc.,",4,4,,
